ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,2390.3204446239965
ID_-23.53_27.47_2019_2,6308.909444431994
ID_-23.53_27.47_2019_3,2467.358372576001
ID_-23.53_27.47_2019_4,2429.305599972
ID_-23.53_27.47_2019_5,3560.554769830802
ID_-23.53_27.47_2019_6,3568.535051696001
ID_-23.53_27.47_2019_7,2479.4659831720005
ID_-23.53_27.47_2019_8,2482.3522703999993
ID_-23.53_27.47_2019_9,2529.4815449520006
ID_-23.53_27.47_2019_10,2474.7275199799988
ID_-23.53_27.47_2019_11,5953.7067528279995
ID_-23.53_27.47_2019_12,10018.927582615997
ID_-23.53_27.47_2019_13,2457.7309949399987
ID_-23.53_27.47_2019_14,2486.2260652759974
ID_-23.53_27.47_2019_15,2518.3738485839995
ID_-23.53_27.47_2019_16,2497.802228199999
ID_-23.53_27.47_2019_17,2475.4760993600016
ID_-23.53_27.47_2019_18,7124.502376228007
ID_-23.53_27.47_2019_19,4804.1932567239965
ID_-23.53_27.47_2019_20,2692.163863560001
ID_-23.53_27.47_2019_21,6633.014135388001
ID_-23.53_27.47_2019_22,5624.509013467996
ID_-23.53_27.47_2019_23,5152.718142983998
ID_-23.53_27.47_2019_24,5609.562228547996
ID_-23.53_27.47_2019_25,2901.7713272800024
ID_-23.53_27.47_2019_26,6195.312464687999
ID_-23.53_27.47_2019_27,2960.1020979600053
ID_-23.53_27.47_2019_28,2734.125249480002
ID_-23.53_27.47_2019_29,5070.595288296
ID_-23.53_27.47_2019_30,6376.1258423200015
ID_-23.53_27.47_2019_31,5519.975044827996
ID_-23.53_27.47_2019_32,6040.552983879999
ID_-23.53_27.47_2019_33,8435.733806028004
ID_-23.53_27.47_2019_34,6765.727401072005
ID_-23.53_27.47_2019_35,5619.9316075599945
ID_-23.53_27.47_2019_36,2694.1472189360015
ID_-23.53_27.47_2019_37,2539.982309308001
ID_-23.53_27.47_2019_38,2592.610044432
ID_-23.53_27.47_2019_39,2556.4862969240007
ID_-23.53_27.47_2019_40,2562.4362944360005
ID_-23.53_27.47_2019_41,2579.114306524
ID_-23.53_27.47_2019_42,2574.3967531079993
ID_-23.53_27.47_2019_43,10485.31184554401
ID_-23.53_27.47_2019_44,9322.811431067998
ID_-23.53_27.47_2019_45,14051.75097812
ID_-23.53_27.47_2019_46,6894.275587991605
ID_-23.53_27.47_2019_47,3307.5619199000007
ID_-23.53_27.47_2019_48,2480.3409221199977
ID_-23.53_27.47_2019_49,2575.01139434
ID_-23.53_27.47_2019_50,2440.9995231919993
ID_-23.53_27.47_2019_51,2413.5825757519997
ID_-23.53_27.47_2019_52,2444.3482384720005
ID_-23.53_27.47_2020_1,128164.58091457603
ID_-23.53_27.47_2020_2,12842.058304008002
ID_-23.53_27.47_2020_3,172746.86479070812
ID_-23.53_27.47_2020_4,7802.275014152004
ID_-23.53_27.47_2020_5,2434.6645474119996
ID_-23.53_27.47_2020_6,2412.3516748399993
ID_-23.53_27.47_2020_7,2534.454953651999
ID_-23.53_27.47_2020_8,2451.124260172001
ID_-23.53_27.47_2020_9,2408.1353084280013
ID_-23.53_27.47_2020_10,2509.4509477399984
ID_-23.53_27.47_2020_11,2478.140776943999
ID_-23.53_27.47_2020_12,5313.317002959992
ID_-23.53_27.47_2020_13,4803.118051827993
ID_-23.53_27.47_2020_14,2444.3418867200003
ID_-23.53_27.47_2020_15,2432.892737843998
ID_-23.53_27.47_2020_16,2434.729989520003
ID_-23.53_27.47_2020_17,10778.108666595997
ID_-23.53_27.47_2020_18,4836.763595427995
ID_-23.53_27.47_2020_19,5872.281780347998
ID_-23.53_27.47_2020_20,4765.477210171996
ID_-23.53_27.47_2020_21,8042.149898269329
ID_-23.53_27.47_2020_22,2755.009573439999
ID_-23.53_27.47_2020_23,3711.4432610519993
ID_-23.53_27.47_2020_24,4343.042819914559
ID_-23.53_27.47_2020_25,4065.5890923879992
ID_-23.53_27.47_2020_26,9688.301307688002
ID_-23.53_27.47_2020_27,5138.027945979998
ID_-23.53_27.47_2020_28,5140.712649691998
ID_-23.53_27.47_2020_29,2945.950980360002
ID_-23.53_27.47_2020_30,2906.045822840002
ID_-23.53_27.47_2020_31,7919.685630867996
ID_-23.53_27.47_2020_32,2983.9208935200036
ID_-23.53_27.47_2020_33,2854.103593360001
ID_-23.53_27.47_2020_34,2740.3545784639978
ID_-23.53_27.47_2020_35,2808.98240348
ID_-23.53_27.47_2020_36,2641.2464052799987
ID_-23.53_27.47_2020_37,5083.147792199997
ID_-23.53_27.47_2020_38,4765.636288879994
ID_-23.53_27.47_2020_39,2740.9965328279973
ID_-23.53_27.47_2020_40,2686.1347347679994
ID_-23.53_27.47_2020_41,2634.6809123479984
ID_-23.53_27.47_2020_42,5454.8481573508025
ID_-23.53_27.47_2020_43,19867.88087473401
ID_-23.53_27.47_2020_44,2722.497322867995
ID_-23.53_27.47_2020_45,2554.9041961559974
ID_-23.53_27.47_2020_46,2489.33492468
ID_-23.53_27.47_2020_47,2493.8698344880004
ID_-23.53_27.47_2020_48,64245.327312919595
ID_-23.53_27.47_2020_49,2433.4772169159996
ID_-23.53_27.47_2020_50,2430.520294540001
ID_-23.53_27.47_2020_51,2263.4797030839986
ID_-23.53_27.47_2020_52,2281.0206909519998
ID_-23.53_27.47_2021_1,2383.484652452001
ID_-23.53_27.47_2021_2,2394.293036256001
ID_-23.53_27.47_2021_3,33544.392546087984
ID_-23.53_27.47_2021_4,2414.441197563998
ID_-23.53_27.47_2021_5,2425.0495075097588
ID_-23.53_27.47_2021_6,2783.214411594399
ID_-23.53_27.47_2021_7,30610.694260823977
ID_-23.53_27.47_2021_8,18985.52040038799
ID_-23.53_27.47_2021_9,5832.210764799992
ID_-23.53_27.47_2021_10,5661.113541039992
ID_-23.53_27.47_2021_11,2486.178644576001
ID_-23.53_27.47_2021_12,2420.683824019999
ID_-23.53_27.47_2021_13,9623.432802868
ID_-23.53_27.47_2021_14,5966.613151659999
ID_-23.53_27.47_2021_15,6652.002980996805
ID_-23.53_27.47_2021_16,11153.921083528005
ID_-23.53_27.47_2021_17,2475.933568215999
ID_-23.53_27.47_2021_18,3019.495839996001
ID_-23.53_27.47_2021_19,13439.08122495601
ID_-23.53_27.47_2021_20,5468.452965328001
